    9.6250 MB /   1.02 sec =   79.1810 Mbps
    9.4375 MB /   0.98 sec =   80.5003 Mbps
    9.5625 MB /   1.00 sec =   80.4603 Mbps
    9.5000 MB /   1.00 sec =   79.6758 Mbps
    9.5625 MB /   1.00 sec =   80.2288 Mbps
    9.5000 MB /   1.00 sec =   79.6939 Mbps
    9.5625 MB /   1.00 sec =   80.2137 Mbps
    9.5625 MB /   1.00 sec =   80.2194 Mbps
    9.5000 MB /   1.00 sec =   79.6817 Mbps
    9.5625 MB /   1.00 sec =   80.2263 Mbps
    9.5000 MB /   1.00 sec =   79.6889 Mbps
    9.5625 MB /   1.00 sec =   80.2010 Mbps
    9.5625 MB /   1.00 sec =   80.2328 Mbps
    9.5000 MB /   1.00 sec =   79.6875 Mbps
    9.5625 MB /   1.00 sec =   80.2232 Mbps
    9.5000 MB /   1.00 sec =   79.6825 Mbps
    9.5625 MB /   1.00 sec =   80.1923 Mbps
    9.5625 MB /   1.00 sec =   80.2397 Mbps
    9.5000 MB /   1.00 sec =   79.6968 Mbps
    9.5625 MB /   1.00 sec =   80.1933 Mbps
    9.5000 MB /   1.00 sec =   79.7054 Mbps
    9.5625 MB /   1.00 sec =   80.2244 Mbps
    9.5000 MB /   1.00 sec =   79.6864 Mbps
    9.5625 MB /   1.00 sec =   80.2181 Mbps
    9.5625 MB /   1.00 sec =   80.2201 Mbps
    9.5000 MB /   1.00 sec =   79.6883 Mbps
    9.5625 MB /   1.00 sec =   80.2164 Mbps
    9.5000 MB /   1.00 sec =   79.6950 Mbps
    9.5625 MB /   1.00 sec =   80.2202 Mbps
    9.5625 MB /   1.00 sec =   80.2032 Mbps
    9.5000 MB /   1.00 sec =   79.7041 Mbps
    9.5625 MB /   1.00 sec =   80.2152 Mbps
    9.5000 MB /   1.00 sec =   79.6884 Mbps
    9.5625 MB /   1.00 sec =   80.2104 Mbps
    9.5625 MB /   1.00 sec =   80.2236 Mbps
    9.5000 MB /   1.00 sec =   79.6872 Mbps
    9.5625 MB /   1.00 sec =   80.2157 Mbps
    9.5000 MB /   1.00 sec =   79.6931 Mbps
    9.5625 MB /   1.00 sec =   80.1989 Mbps
    9.5000 MB /   1.00 sec =   79.7174 Mbps
    9.5625 MB /   1.00 sec =   80.2168 Mbps
    9.5625 MB /   1.00 sec =   80.2113 Mbps
    9.5000 MB /   1.00 sec =   79.6555 Mbps
    9.5625 MB /   1.00 sec =   80.2531 Mbps
    9.5000 MB /   1.00 sec =   79.6281 Mbps
    9.5625 MB /   1.00 sec =   80.2798 Mbps
    9.5625 MB /   1.00 sec =   80.2165 Mbps
    9.5000 MB /   1.00 sec =   79.6877 Mbps
    9.5625 MB /   1.00 sec =   80.1982 Mbps
    9.5000 MB /   1.00 sec =   79.7083 Mbps
    9.5625 MB /   1.00 sec =   80.2206 Mbps
    9.5625 MB /   1.00 sec =   80.2068 Mbps
    9.5000 MB /   1.00 sec =   79.6955 Mbps
    9.5625 MB /   1.00 sec =   80.2179 Mbps
    9.5000 MB /   1.00 sec =   79.6933 Mbps
    9.5625 MB /   1.00 sec =   80.2157 Mbps
    9.5000 MB /   1.00 sec =   79.6682 Mbps
    9.5625 MB /   1.00 sec =   80.2178 Mbps
    9.5625 MB /   1.00 sec =   80.2455 Mbps
    9.5000 MB /   1.00 sec =   79.6757 Mbps
    9.5625 MB /   1.00 sec =   80.2103 Mbps
    9.5000 MB /   1.00 sec =   79.7060 Mbps
    9.5625 MB /   1.00 sec =   80.2082 Mbps
    9.5625 MB /   1.00 sec =   80.2233 Mbps
    9.5000 MB /   1.00 sec =   79.6918 Mbps
    9.5625 MB /   1.00 sec =   80.2206 Mbps
    9.5000 MB /   1.00 sec =   79.6805 Mbps
    9.5625 MB /   1.00 sec =   80.2320 Mbps
    9.5625 MB /   1.00 sec =   80.2101 Mbps
    9.5000 MB /   1.00 sec =   79.6934 Mbps
    9.5625 MB /   1.00 sec =   80.2149 Mbps
    9.5000 MB /   1.00 sec =   79.6855 Mbps
    9.5625 MB /   1.00 sec =   80.2202 Mbps
    9.5000 MB /   1.00 sec =   79.6919 Mbps
    9.5625 MB /   1.00 sec =   80.2178 Mbps
    9.5625 MB /   1.00 sec =   80.2107 Mbps
    9.5000 MB /   1.00 sec =   79.6968 Mbps
    9.5625 MB /   1.00 sec =   80.2157 Mbps
    9.5000 MB /   1.00 sec =   79.6886 Mbps
    9.5625 MB /   1.00 sec =   80.2068 Mbps
    9.5000 MB /   1.00 sec =   79.6931 Mbps
    9.5625 MB /   1.00 sec =   80.2271 Mbps
    9.5625 MB /   1.00 sec =   80.2132 Mbps
    9.5000 MB /   1.00 sec =   79.6942 Mbps
    9.5625 MB /   1.00 sec =   80.2069 Mbps
    9.5000 MB /   1.00 sec =   79.7011 Mbps
    9.5625 MB /   1.00 sec =   80.2183 Mbps
    9.5625 MB /   1.00 sec =   80.2047 Mbps
    9.5000 MB /   1.00 sec =   79.6951 Mbps
    9.5625 MB /   1.00 sec =   80.2246 Mbps
    9.5000 MB /   1.00 sec =   79.6868 Mbps
    9.5625 MB /   1.00 sec =   80.2165 Mbps
    9.5625 MB /   1.00 sec =   80.2204 Mbps
    9.5000 MB /   1.00 sec =   79.6785 Mbps
    9.5625 MB /   1.00 sec =   80.2126 Mbps
    9.5000 MB /   1.00 sec =   79.7008 Mbps
    9.5625 MB /   1.00 sec =   80.2230 Mbps
    9.5000 MB /   1.00 sec =   79.6809 Mbps
    9.5625 MB /   1.00 sec =   80.2277 Mbps
    9.5625 MB /   1.00 sec =   80.2165 Mbps
    9.5000 MB /   1.00 sec =   79.6942 Mbps
    9.5625 MB /   1.00 sec =   80.2134 Mbps
    9.5000 MB /   1.00 sec =   79.6802 Mbps
    9.5625 MB /   1.00 sec =   80.2273 Mbps
    9.5625 MB /   1.00 sec =   80.2128 Mbps
    9.5000 MB /   1.00 sec =   79.6921 Mbps
    9.5625 MB /   1.00 sec =   80.2167 Mbps
    9.5000 MB /   1.00 sec =   79.6919 Mbps
    9.5625 MB /   1.00 sec =   80.2208 Mbps
    9.5625 MB /   1.00 sec =   80.2119 Mbps
    9.5000 MB /   1.00 sec =   79.6807 Mbps
