   14.1250 MB /   1.48 sec =   79.9857 Mbps
    5.0000 MB /   0.52 sec =   80.8411 Mbps
    9.5000 MB /   1.00 sec =   79.6952 Mbps
    9.5625 MB /   1.00 sec =   80.2186 Mbps
    9.5000 MB /   1.00 sec =   79.6934 Mbps
    9.5625 MB /   1.00 sec =   80.2164 Mbps
    9.5625 MB /   1.00 sec =   80.2095 Mbps
    9.5000 MB /   1.00 sec =   79.6976 Mbps
    9.5625 MB /   1.00 sec =   80.2169 Mbps
    9.5000 MB /   1.00 sec =   79.6638 Mbps
    9.5625 MB /   1.00 sec =   80.2417 Mbps
    9.5625 MB /   1.00 sec =   80.2154 Mbps
    9.5000 MB /   1.00 sec =   79.6947 Mbps
    9.5625 MB /   1.00 sec =   80.2100 Mbps
    9.5000 MB /   1.00 sec =   79.6991 Mbps
    9.5625 MB /   1.00 sec =   80.2104 Mbps
    9.5000 MB /   1.00 sec =   79.6923 Mbps
    9.5625 MB /   1.00 sec =   80.2241 Mbps
    9.5625 MB /   1.00 sec =   80.1584 Mbps
    9.5000 MB /   1.00 sec =   79.6684 Mbps
    9.5625 MB /   1.00 sec =   80.2825 Mbps
    9.5000 MB /   1.00 sec =   79.7025 Mbps
    9.5625 MB /   1.00 sec =   80.2198 Mbps
    9.5625 MB /   1.00 sec =   80.2141 Mbps
    9.5000 MB /   1.00 sec =   79.6901 Mbps
    9.5625 MB /   1.00 sec =   80.2204 Mbps
    9.5000 MB /   1.00 sec =   79.6844 Mbps
    9.5625 MB /   1.00 sec =   80.2077 Mbps
    9.5625 MB /   1.00 sec =   80.2271 Mbps
    9.5000 MB /   1.00 sec =   79.6805 Mbps
    9.5625 MB /   1.00 sec =   80.2287 Mbps
    9.5000 MB /   1.00 sec =   79.6921 Mbps
    9.5625 MB /   1.00 sec =   80.1625 Mbps
    9.5000 MB /   1.00 sec =   79.6656 Mbps
    9.5625 MB /   1.00 sec =   80.2935 Mbps
    9.5625 MB /   1.00 sec =   80.2153 Mbps
    9.5000 MB /   1.00 sec =   79.6950 Mbps
    9.5625 MB /   1.00 sec =   80.2141 Mbps
    9.5000 MB /   1.00 sec =   79.6562 Mbps
    9.5625 MB /   1.00 sec =   80.2133 Mbps
    9.5625 MB /   1.00 sec =   80.2568 Mbps
    9.5000 MB /   1.00 sec =   79.6860 Mbps
    9.5625 MB /   1.00 sec =   80.1597 Mbps
    9.5000 MB /   1.00 sec =   79.7564 Mbps
    9.5625 MB /   1.00 sec =   80.2041 Mbps
    9.5625 MB /   1.00 sec =   80.2248 Mbps
    9.5000 MB /   1.00 sec =   79.6940 Mbps
    9.5625 MB /   1.00 sec =   80.2116 Mbps
    9.5000 MB /   1.00 sec =   79.6521 Mbps
    9.5625 MB /   1.00 sec =   80.2584 Mbps
    9.5625 MB /   1.00 sec =   80.2067 Mbps
    9.5000 MB /   1.00 sec =   79.6964 Mbps
    9.5625 MB /   1.00 sec =   80.1991 Mbps
    9.5000 MB /   1.00 sec =   79.7076 Mbps
