    9.6875 MB /   1.02 sec =   79.9794 Mbps
    9.4375 MB /   0.98 sec =   80.4416 Mbps
    9.5000 MB /   1.00 sec =   79.6855 Mbps
    9.5625 MB /   1.00 sec =   80.2268 Mbps
    9.5000 MB /   1.00 sec =   79.6891 Mbps
    9.5625 MB /   1.00 sec =   80.2246 Mbps
    9.5625 MB /   1.00 sec =   80.2173 Mbps
    9.5000 MB /   1.00 sec =   79.6856 Mbps
    9.5625 MB /   1.00 sec =   80.2161 Mbps
    9.5000 MB /   1.00 sec =   79.6919 Mbps
    9.5625 MB /   1.00 sec =   80.2158 Mbps
    9.5625 MB /   1.00 sec =   80.2177 Mbps
    9.5000 MB /   1.00 sec =   79.6943 Mbps
    9.5625 MB /   1.00 sec =   80.2134 Mbps
    9.5000 MB /   1.00 sec =   79.6894 Mbps
    9.5625 MB /   1.00 sec =   80.2221 Mbps
    9.5000 MB /   1.00 sec =   79.6914 Mbps
    9.5625 MB /   1.00 sec =   80.2097 Mbps
    9.5625 MB /   1.00 sec =   80.2246 Mbps
    9.5000 MB /   1.00 sec =   79.6855 Mbps
    9.5625 MB /   1.00 sec =   80.2181 Mbps
    9.5000 MB /   1.00 sec =   79.6945 Mbps
    9.5625 MB /   1.00 sec =   80.2140 Mbps
    9.5625 MB /   1.00 sec =   80.2219 Mbps
    9.5000 MB /   1.00 sec =   79.6834 Mbps
    9.5625 MB /   1.00 sec =   80.2181 Mbps
    9.5000 MB /   1.00 sec =   79.6918 Mbps
    9.5625 MB /   1.00 sec =   80.2145 Mbps
    9.5625 MB /   1.00 sec =   80.2198 Mbps
    9.5000 MB /   1.00 sec =   79.6882 Mbps
    9.5625 MB /   1.00 sec =   80.2181 Mbps
    9.5000 MB /   1.00 sec =   79.6864 Mbps
    9.5625 MB /   1.00 sec =   80.2235 Mbps
    9.5000 MB /   1.00 sec =   79.6902 Mbps
    9.5625 MB /   1.00 sec =   80.2147 Mbps
    9.5625 MB /   1.00 sec =   80.2115 Mbps
    9.5000 MB /   1.00 sec =   79.6961 Mbps
    9.5625 MB /   1.00 sec =   80.2187 Mbps
    9.5000 MB /   1.00 sec =   79.6850 Mbps
    9.5625 MB /   1.00 sec =   80.2241 Mbps
    9.5625 MB /   1.00 sec =   80.2169 Mbps
    9.5000 MB /   1.00 sec =   79.6878 Mbps
    9.5625 MB /   1.00 sec =   80.2128 Mbps
    9.5000 MB /   1.00 sec =   79.6990 Mbps
    9.5625 MB /   1.00 sec =   80.2166 Mbps
    9.5625 MB /   1.00 sec =   80.2141 Mbps
    9.5000 MB /   1.00 sec =   79.6966 Mbps
    9.5625 MB /   1.00 sec =   80.2078 Mbps
    9.5000 MB /   1.00 sec =   79.6926 Mbps
    9.5625 MB /   1.00 sec =   80.2149 Mbps
    9.5000 MB /   1.00 sec =   79.6919 Mbps
    9.5625 MB /   1.00 sec =   80.2180 Mbps
    9.5625 MB /   1.00 sec =   80.2169 Mbps
    9.5000 MB /   1.00 sec =   79.6896 Mbps
    9.5625 MB /   1.00 sec =   80.2169 Mbps
    9.5000 MB /   1.00 sec =   79.6918 Mbps
    9.5625 MB /   1.00 sec =   80.2190 Mbps
    9.5625 MB /   1.00 sec =   80.2182 Mbps
    9.5000 MB /   1.00 sec =   79.6903 Mbps
    9.5625 MB /   1.00 sec =   80.2122 Mbps
    9.5000 MB /   1.00 sec =   79.6962 Mbps
    9.5625 MB /   1.00 sec =   80.2096 Mbps
    9.5625 MB /   1.00 sec =   80.2186 Mbps
    9.5000 MB /   1.00 sec =   79.6878 Mbps
    9.5625 MB /   1.00 sec =   80.2234 Mbps
    9.5000 MB /   1.00 sec =   79.6857 Mbps
    9.5625 MB /   1.00 sec =   80.2163 Mbps
    9.5000 MB /   1.00 sec =   79.6981 Mbps
    9.5625 MB /   1.00 sec =   80.2098 Mbps
    9.5625 MB /   1.00 sec =   80.2188 Mbps
    9.5000 MB /   1.00 sec =   79.6898 Mbps
    9.5625 MB /   1.00 sec =   80.2159 Mbps
    9.5000 MB /   1.00 sec =   79.6924 Mbps
    9.5625 MB /   1.00 sec =   80.2131 Mbps
    9.5625 MB /   1.00 sec =   80.2206 Mbps
    9.5000 MB /   1.00 sec =   79.6927 Mbps
    9.5625 MB /   1.00 sec =   80.2153 Mbps
    9.5000 MB /   1.00 sec =   79.6873 Mbps
    9.5625 MB /   1.00 sec =   80.2230 Mbps
    9.5625 MB /   1.00 sec =   80.2117 Mbps
    9.5000 MB /   1.00 sec =   79.6879 Mbps
    9.5625 MB /   1.00 sec =   80.2255 Mbps
    9.5000 MB /   1.00 sec =   79.6847 Mbps
    9.5625 MB /   1.00 sec =   80.2168 Mbps
    9.5000 MB /   1.00 sec =   79.6903 Mbps
    9.5625 MB /   1.00 sec =   80.2225 Mbps
    9.5625 MB /   1.00 sec =   80.2153 Mbps
    9.5000 MB /   1.00 sec =   79.6918 Mbps
    9.5625 MB /   1.00 sec =   80.2176 Mbps
    9.5000 MB /   1.00 sec =   79.6900 Mbps
    9.5625 MB /   1.00 sec =   80.2151 Mbps
    9.5625 MB /   1.00 sec =   80.2165 Mbps
    9.5000 MB /   1.00 sec =   79.6963 Mbps
    9.5625 MB /   1.00 sec =   80.2124 Mbps
    9.5000 MB /   1.00 sec =   79.6895 Mbps
    9.5625 MB /   1.00 sec =   80.2151 Mbps
    9.5625 MB /   1.00 sec =   80.2162 Mbps
    9.5000 MB /   1.00 sec =   79.6922 Mbps
    9.5625 MB /   1.00 sec =   80.2149 Mbps
    9.5000 MB /   1.00 sec =   79.6941 Mbps
    9.5625 MB /   1.00 sec =   80.2159 Mbps
    9.5000 MB /   1.00 sec =   79.6887 Mbps
    9.5625 MB /   1.00 sec =   80.2168 Mbps
    9.5625 MB /   1.00 sec =   80.2177 Mbps
    9.5000 MB /   1.00 sec =   79.6729 Mbps
    9.5625 MB /   1.00 sec =   80.2385 Mbps
