nuttcp-t: v6.1.2: Error: connect: Connection refused
errno=111
RTY: 1
   10.1875 MB /   1.07 sec =   79.7476 Mbps
    9.6875 MB /   1.02 sec =   79.9571 Mbps
    8.8125 MB /   0.92 sec =   80.4056 Mbps
    9.4375 MB /   0.99 sec =   79.6984 Mbps
    9.5625 MB /   1.00 sec =   80.1769 Mbps
    9.5625 MB /   1.00 sec =   80.2210 Mbps
    9.5000 MB /   1.00 sec =   79.7651 Mbps
    9.5000 MB /   1.00 sec =   79.6655 Mbps
    9.5625 MB /   1.00 sec =   80.0609 Mbps
    9.5625 MB /   1.00 sec =   80.2547 Mbps
    9.5625 MB /   1.00 sec =   80.2079 Mbps
    9.5000 MB /   1.00 sec =   79.8118 Mbps
    9.5625 MB /   1.00 sec =   80.1707 Mbps
    9.5000 MB /   1.00 sec =   79.6439 Mbps
    9.5625 MB /   1.00 sec =   80.3372 Mbps
    9.5000 MB /   1.00 sec =   79.6625 Mbps
    9.5625 MB /   1.00 sec =   80.1902 Mbps
    9.5625 MB /   1.00 sec =   80.1619 Mbps
    9.5000 MB /   1.00 sec =   79.8037 Mbps
    9.5625 MB /   1.00 sec =   80.1069 Mbps
    9.5000 MB /   1.00 sec =   79.8093 Mbps
    9.5625 MB /   1.00 sec =   80.1659 Mbps
    9.5625 MB /   1.00 sec =   79.8794 Mbps
    9.5000 MB /   1.00 sec =   80.0296 Mbps
    9.6875 MB /   1.02 sec =   79.9610 Mbps
    9.3750 MB /   0.98 sec =   79.9651 Mbps
    9.5625 MB /   1.00 sec =   80.2508 Mbps
    9.5000 MB /   1.00 sec =   79.6687 Mbps
    9.5625 MB /   1.00 sec =   80.1789 Mbps
    9.5625 MB /   1.00 sec =   80.1676 Mbps
    9.5000 MB /   1.00 sec =   79.7222 Mbps
    9.5625 MB /   1.00 sec =   80.2680 Mbps
    9.5000 MB /   1.00 sec =   79.7169 Mbps
    9.5625 MB /   1.00 sec =   80.2003 Mbps
    9.5000 MB /   1.00 sec =   79.6598 Mbps
    9.5625 MB /   1.00 sec =   80.2614 Mbps
    9.5625 MB /   1.00 sec =   80.1771 Mbps
    9.5000 MB /   1.00 sec =   79.5194 Mbps
    9.5625 MB /   1.00 sec =   80.3717 Mbps
    9.5000 MB /   1.00 sec =   79.7427 Mbps
    9.5625 MB /   1.00 sec =   80.0926 Mbps
    9.5625 MB /   1.00 sec =   80.2559 Mbps
    9.5000 MB /   1.00 sec =   79.7090 Mbps
    9.5625 MB /   1.00 sec =   80.1980 Mbps
    9.5625 MB /   1.00 sec =   80.2194 Mbps
    9.5000 MB /   1.00 sec =   79.6742 Mbps
    9.5000 MB /   1.00 sec =   79.7419 Mbps
    9.5625 MB /   1.00 sec =   79.9872 Mbps
    9.6875 MB /   1.01 sec =   80.1156 Mbps
    9.5000 MB /   0.99 sec =   80.1660 Mbps
    9.4375 MB /   0.99 sec =   80.1303 Mbps
    9.5625 MB /   1.00 sec =   80.1697 Mbps
    9.5000 MB /   1.00 sec =   79.7388 Mbps
    9.5625 MB /   1.00 sec =   79.8639 Mbps
    9.5625 MB /   1.00 sec =   80.2408 Mbps
    9.5000 MB /   1.00 sec =   79.6660 Mbps
    9.5625 MB /   1.00 sec =   80.3598 Mbps
    9.5000 MB /   1.00 sec =   79.8588 Mbps
    9.5625 MB /   1.00 sec =   79.8339 Mbps
    9.5000 MB /   1.00 sec =   79.8704 Mbps
    9.5625 MB /   1.00 sec =   80.3115 Mbps
    9.5000 MB /   1.00 sec =   79.7339 Mbps
    9.5625 MB /   1.00 sec =   80.1775 Mbps
    9.5625 MB /   1.00 sec =   80.1090 Mbps
    9.4375 MB /   1.00 sec =   79.2634 Mbps
    9.6250 MB /   1.00 sec =   80.8261 Mbps
    9.5000 MB /   1.00 sec =   79.6456 Mbps
    9.5625 MB /   1.00 sec =   80.3325 Mbps
    9.5000 MB /   1.00 sec =   79.6467 Mbps
    9.5625 MB /   1.00 sec =   80.1879 Mbps
    9.5625 MB /   1.00 sec =   80.2592 Mbps
    9.5625 MB /   1.01 sec =   79.7615 Mbps
    9.5625 MB /   1.00 sec =   80.0801 Mbps
    9.4375 MB /   0.99 sec =   79.7715 Mbps
    9.5625 MB /   1.00 sec =   80.1884 Mbps
    9.8125 MB /   1.03 sec =   79.8924 Mbps
    9.2500 MB /   0.97 sec =   79.9287 Mbps
    9.5625 MB /   1.00 sec =   80.2341 Mbps
