   11.0000 MB /   1.16 sec =   79.2989 Mbps
    8.3125 MB /   0.87 sec =   80.0066 Mbps
   10.3125 MB /   1.08 sec =   80.0631 Mbps
    8.5000 MB /   0.89 sec =   80.5603 Mbps
    9.5625 MB /   1.00 sec =   80.1495 Mbps
    9.5625 MB /   1.00 sec =   80.1910 Mbps
    9.5625 MB /   1.00 sec =   79.8697 Mbps
    9.5000 MB /   1.00 sec =   79.8036 Mbps
    9.5000 MB /   1.00 sec =   79.8857 Mbps
    9.5625 MB /   1.00 sec =   80.1123 Mbps
    9.5625 MB /   1.00 sec =   79.9505 Mbps
    9.5000 MB /   1.00 sec =   80.0236 Mbps
    9.5000 MB /   1.00 sec =   79.7318 Mbps
    9.6875 MB /   1.01 sec =   80.4547 Mbps
    9.4375 MB /   0.99 sec =   79.9899 Mbps
    9.4375 MB /   1.00 sec =   79.2856 Mbps
    9.6250 MB /   1.00 sec =   80.6976 Mbps
    9.5625 MB /   1.00 sec =   80.1820 Mbps
    9.5000 MB /   1.00 sec =   79.7950 Mbps
    9.5625 MB /   1.00 sec =   79.9475 Mbps
    9.5625 MB /   1.00 sec =   80.1882 Mbps
    9.5000 MB /   1.00 sec =   79.7244 Mbps
    9.5000 MB /   1.00 sec =   79.8955 Mbps
    9.5625 MB /   1.00 sec =   80.2485 Mbps
    9.5625 MB /   1.00 sec =   80.2491 Mbps
    9.5000 MB /   1.00 sec =   79.5727 Mbps
    9.5625 MB /   1.00 sec =   80.1810 Mbps
    9.6250 MB /   1.01 sec =   79.9158 Mbps
    9.4375 MB /   0.99 sec =   80.0804 Mbps
    9.5625 MB /   1.00 sec =   80.2958 Mbps
    9.5000 MB /   1.00 sec =   79.6170 Mbps
    9.6875 MB /   1.02 sec =   79.7791 Mbps
    9.3750 MB /   0.98 sec =   80.2018 Mbps
    9.5625 MB /   1.00 sec =   79.9707 Mbps
    9.5625 MB /   1.00 sec =   80.3084 Mbps
    9.5000 MB /   1.00 sec =   79.6714 Mbps
    9.5625 MB /   1.00 sec =   80.1621 Mbps
    9.5000 MB /   1.00 sec =   79.9078 Mbps
    9.5625 MB /   1.00 sec =   80.1056 Mbps
    9.5000 MB /   1.00 sec =   79.8129 Mbps
    9.5625 MB /   1.00 sec =   79.9887 Mbps
    9.5625 MB /   1.00 sec =   80.4066 Mbps
    9.5000 MB /   1.00 sec =   79.6771 Mbps
    9.5625 MB /   1.00 sec =   80.2374 Mbps
    9.5625 MB /   1.00 sec =   80.1213 Mbps
    9.5000 MB /   1.00 sec =   79.7304 Mbps
    9.5000 MB /   1.00 sec =   79.7204 Mbps
    9.6250 MB /   1.00 sec =   80.5605 Mbps
    9.5000 MB /   1.00 sec =   79.5668 Mbps
    9.5000 MB /   1.00 sec =   80.0580 Mbps
    9.5625 MB /   1.00 sec =   80.1513 Mbps
    9.5000 MB /   1.00 sec =   79.7324 Mbps
   10.0000 MB /   1.05 sec =   80.2252 Mbps
    9.1250 MB /   0.96 sec =   80.1269 Mbps
    9.5000 MB /   1.00 sec =   79.7507 Mbps
    9.5625 MB /   1.00 sec =   79.9248 Mbps
    9.5000 MB /   1.00 sec =   79.5082 Mbps
    9.5625 MB /   0.99 sec =   80.7290 Mbps
    9.5625 MB /   1.00 sec =   80.1733 Mbps
    9.5000 MB /   1.00 sec =   79.7367 Mbps
    9.5625 MB /   1.00 sec =   80.1848 Mbps
    9.5625 MB /   1.00 sec =   80.0107 Mbps
    9.5000 MB /   1.00 sec =   79.8630 Mbps
    9.5625 MB /   1.00 sec =   80.2387 Mbps
    9.5000 MB /   1.00 sec =   79.7482 Mbps
    9.5625 MB /   1.00 sec =   80.2031 Mbps
    9.5625 MB /   1.00 sec =   80.0755 Mbps
    9.5000 MB /   1.00 sec =   79.4973 Mbps
    9.5000 MB /   1.00 sec =   80.0387 Mbps
    9.5625 MB /   1.00 sec =   80.0595 Mbps
    9.8750 MB /   1.03 sec =   80.2855 Mbps
    9.1875 MB /   0.97 sec =   79.6677 Mbps
    9.5625 MB /   1.00 sec =   79.9309 Mbps
    9.5000 MB /   1.00 sec =   79.9226 Mbps
    9.6250 MB /   1.00 sec =   80.4937 Mbps
    9.5000 MB /   1.00 sec =   79.8601 Mbps
    9.5000 MB /   1.00 sec =   79.7906 Mbps
    9.5625 MB /   1.00 sec =   80.1011 Mbps
    9.5000 MB /   1.00 sec =   79.7249 Mbps
    9.5625 MB /   1.00 sec =   80.2469 Mbps
    9.5625 MB /   1.00 sec =   80.3920 Mbps
    9.5000 MB /   1.00 sec =   79.6922 Mbps
    9.5625 MB /   1.00 sec =   80.1623 Mbps
    9.5625 MB /   1.00 sec =   79.9423 Mbps
    9.5000 MB /   1.00 sec =   79.9771 Mbps
    9.5000 MB /   1.00 sec =   79.7293 Mbps
    9.5625 MB /   1.00 sec =   80.1010 Mbps
    9.6875 MB /   1.01 sec =   80.1274 Mbps
    9.3750 MB /   0.99 sec =   79.7430 Mbps
    9.5625 MB /   1.00 sec =   80.1545 Mbps
    9.5000 MB /   1.00 sec =   79.8732 Mbps
    9.5625 MB /   1.00 sec =   80.0832 Mbps
    9.5625 MB /   1.00 sec =   80.2376 Mbps
    9.5625 MB /   1.01 sec =   79.8040 Mbps
    9.5000 MB /   1.00 sec =   79.8780 Mbps
    9.5000 MB /   1.00 sec =   79.9547 Mbps
    9.5625 MB /   1.00 sec =   80.2034 Mbps
    9.5625 MB /   1.00 sec =   80.3277 Mbps
    9.7500 MB /   1.03 sec =   79.6317 Mbps
    9.3125 MB /   0.97 sec =   80.2206 Mbps
    9.5000 MB /   1.00 sec =   79.7479 Mbps
    9.5625 MB /   1.00 sec =   80.1399 Mbps
    9.5625 MB /   1.00 sec =   80.1899 Mbps
    9.5000 MB /   1.00 sec =   79.6777 Mbps
    9.5000 MB /   1.00 sec =   79.7101 Mbps
    9.6250 MB /   1.01 sec =   80.2147 Mbps
    9.5625 MB /   1.00 sec =   79.9317 Mbps
    9.4375 MB /   0.99 sec =   80.0957 Mbps
    9.5625 MB /   1.00 sec =   80.0938 Mbps
